CODGEO,LIBGEO,APL_MEDECINS,Pop_standardisee,CLASSE_ACCESSIBILITE
01355,Saint-Genis-sur-Menthon,3.531,475.295,Élevée
01356,Saint-Georges-sur-Renon,2.01,187.214,Faible
01357,Saint-Germain-de-Joux,1.264,487.515,Très faible
01358,Saint-Germain-les-Paroisses,1.779,444.264,Très faible
01359,Saint-Germain-sur-Renon,2.81,252.44,Moyenne
01360,Saint-Jean-de-Gonville,1.529,1864.645,Très faible
01361,Saint-Jean-de-Niost,3.005,1762.533,Moyenne
01362,Saint-Jean-de-Thurigneux,3.511,791.426,Élevée
01363,Saint-Jean-le-Vieux,3.233,1782.885,Élevée
01364,Saint-Jean-sur-Reyssouze,2.18,786.734,Faible
01365,Saint-Jean-sur-Veyle,2.893,1150.676,Moyenne
01366,Sainte-Julie,3.147,999.224,Moyenne
01367,Saint-Julien-sur-Reyssouze,2.499,715.623,Faible
01368,Saint-Julien-sur-Veyle,1.949,828.691,Faible
01369,Saint-Just,3.626,996.418,Élevée
01370,Saint-Laurent-sur-Saône,4.503,1721.087,Très élevée
01371,Saint-Marcel,2.655,1198.72,Moyenne
01372,Saint-Martin-de-Bavel,3.835,423.344,Élevée
01373,Saint-Martin-du-Frêne,2.543,1042.736,Faible
01374,Saint-Martin-du-Mont,2.635,1870.015,Moyenne
01375,Saint-Martin-le-Châtel,2.557,773.938,Faible
01376,Saint-Maurice-de-Beynost,4.381,4087,Très élevée
01378,Saint-Maurice-de-Gourdans,2.092,2637.143,Faible
01379,Saint-Maurice-de-Rémens,3.963,721.643,Très élevée
01380,Saint-Nizier-le-Bouchoux,1.791,633.536,Très faible
01381,Saint-Nizier-le-Désert,1.809,869.094,Très faible
01382,Sainte-Olive,2.929,320.926,Moyenne
01383,Saint-Paul-de-Varax,2.162,1574.053,Faible
01384,Saint-Rambert-en-Bugey,1.443,2210.987,Très faible
01385,Saint-Rémy,2.117,965.32,Faible
01386,Saint-Sorlin-en-Bugey,3.509,1109.306,Élevée
01387,Saint-Sulpice,1.738,239.743,Très faible
01388,Saint-Trivier-de-Courtes,1.944,1249.076,Faible
01389,Saint-Trivier-sur-Moignans,2.577,1894.963,Faible
01390,Saint-Vulbas,2.316,1220.144,Faible
01391,Salavre,2.756,311.294,Moyenne
01392,Samognat,1.422,634.643,Très faible
01393,Sandrans,2.632,540.814,Moyenne
01396,Sault-Brénaz,2.933,992.557,Moyenne
01397,Sauverny,2.65,985.559,Moyenne
01398,Savigneux,2.856,1357.289,Moyenne
01399,Ségny,2.406,2204.321,Faible
01400,Seillonnaz,0.266,141.162,Très faible
01401,Sergy,1.463,2084.379,Très faible
01402,Sermoyer,2.706,668.381,Moyenne
01403,Serrières-de-Briord,2.0,1313.469,Faible
01404,Serrières-sur-Ain,1.779,146.691,Très faible
01405,Servas,1.423,1187.436,Très faible
01406,Servignat,1.932,177.838,Faible
01407,Seyssel,1.812,982.656,Très faible
01408,Simandre-sur-Suran,2.305,634.23,Faible
01410,Sonthonnax-la-Montagne,0.669,282.167,Très faible
01411,Souclin,1.555,264.84,Très faible
01412,Sulignat,2.224,591.556,Faible
01415,Talissieu,4.075,599.784,Très élevée
01416,Tenay,1.341,1062.633,Très faible
01418,Thil,3.304,1109.226,Élevée
01419,Thoiry,0.993,5715.679,Très faible
01420,Thoissey,2.488,1819.04,Faible
01421,Torcieu,2.584,736.124,Faible
01422,Tossiat,3.788,1349.225,Élevée
01423,Toussieux,2.51,1114.09,Faible
01424,Tramoyes,2.851,1789.016,Moyenne
01425,La Tranclière,2.441,295.466,Faible
01426,Val-Revermont,2.362,2484.878,Faible
01427,Trévoux,3.869,6626.062,Élevée
01428,Valeins,2.157,117.944,Faible
01429,Vandeins,1.744,689.806,Très faible
01430,Varambon,2.753,633.96,Moyenne
01431,Vaux-en-Bugey,3.132,1225.437,Moyenne
01432,Verjon,2.817,331.198,Moyenne
01433,Vernoux,1.672,278.627,Très faible
01434,Versailleux,3.482,467.584,Élevée
01435,Versonnex,2.656,1997.155,Moyenne
01436,Vesancy,2.281,502.981,Faible
